id,answer
TEST_0000, 제주특별자치도 경제통상진흥원(원장 
TEST_0001, 제주경제통상진흥원은 중국과 일본을 
TEST_0002," 2015년 8월
 "
TEST_0003," 일본 도쿄 신주쿠에 설립됐어. 
"
TEST_0004," 31억7200만원
 "
TEST_0005, 서경대 실용음악과 보컬전공의 대입 
TEST_0006, 코로나19 감염을 예방하기 위해서야
TEST_0007, 1710명이 지원했어.이번에 새로 
TEST_0008, 서경대 실용음악과 보컬 전공 수시전
TEST_0009, 서울대는 경기도 일산의 킨텍스에서 
TEST_0010, 중소기업 혁신바우처 사업은 제조 중
TEST_0011," 탄소중립 경영혁신, 융복합, 산업안"
TEST_0012, 최근 3개년 평균 매출액 120억원
TEST_0013, 최고 5000만원이야. 
TEST_0014, 중소기업 혁신바우처플랫폼(http:
TEST_0015, 동남아시아 최대 온라인 플랫폼인 '
TEST_0016," 동남아시아
 "
TEST_0017, 80%이번에 새로 나온 신제품은 어
TEST_0018, 북미시장(아마존) 및 중국시장(알리
TEST_0019," 1720억 달러
 "
TEST_0020, 13일부터 10월 31일까지 진행되
TEST_0021," 330억원
이번에 새로 출시된 제품"
TEST_0022, 국민은 자신이 듣고 싶은 메시지를 
TEST_0023, 일본 정부는 코로나19 수습 이후의
TEST_0024, 10월 1일부터 31일까지야.이번에
TEST_0025, 매출 규모가 50억원 이하의 중소기
TEST_0026, 61.3% 
TEST_0027, 95.5%이번에 새로 나온 제품은 
TEST_0028, 자금지원(31.3%)이번에 새로 나
TEST_0029, 매출 감소이번에 새로 출시된 제품은
TEST_0030, 쌀과 고구마야.이번에 새로 출시된 
TEST_0031," 3천원
 "
TEST_0032," 무화과 쌀빵 1박스
 "
TEST_0033, 7억5천만원이번에 새로 출시된 제품
TEST_0034, 남도장터이번에 새로 출시된 제품은 
TEST_0035," 2단
 "
TEST_0036," 스티브 잡스
 "
TEST_0037," 스탠퍼드 대학교
 "
TEST_0038," 이병철
 "
TEST_0039," 아이폰
 "
TEST_0040," 9일 오전 2시
 "
TEST_0041," 7일 오후 9시
 "
TEST_0042, 섬진강은 4대강 사업과는 직접적인 
TEST_0043," 17.51m
 "
TEST_0044, 보 상류와 하류의 수위 차이가 없다
TEST_0045," 대구
 "
TEST_0046," 10cm
 "
TEST_0047," 서울
 "
TEST_0048, 전씨는 기차를 타고 본가로 이동하려
TEST_0049, 이모씨는 추석을 부산에서 보내기로 
TEST_0050," 대법원
 "
TEST_0051, 이건리(16기·전남 함평) 국민권익
TEST_0052, 김진욱(사법연수원 21기·대구) 선
TEST_0053, 전종민(24기·서울) 변호사야.이번
TEST_0054, 손기호(17기) 전 사무총장이야. 
TEST_0055, 감염재생산지수야. 
TEST_0056, 정은경 본부장이 현 상황에서 위험요
TEST_0057," 정은경
 "
TEST_0058, 사랑제일교회 관련 환자는 전날보다 
TEST_0059," 2단계야. 
 "
